,ФИО,Пол,Роль в мероприятии,Список компетенций,Должность,Категория,Начало трудового стажа,Место работы,Профессия,Дата рождения,Начало трудовой деятельности в РОСАТОМ,Образование,Место образования,Год оканчания,Специальность,Results,status,team_name
0,ФИО_0,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Инженер по подготовке производства,Инженер,1993-06-01,АО Чепецкий механический завод,Промышленная автоматика,1975-04-14,2001-01-25,Информация об образовании не указана,,,,63.9,t,"АО ""ТВЭЛ"" 1"
1,ФИО_1,1,Участник мероприятия,Управление качеством; ,Главный специалист,,2000-08-01,"Акционерное общество  Научно-исследовательский институт Научно-производственное объединение ""ЛУЧ""",,1977-07-19,2021-09-14,Информация об образовании не указана,,,,19.18,t,ЛУЧTimes
2,ФИО_2,0,Участник мероприятия,Сварочные технологии; ,Электрогазосварщик,,,"""Филиал Акционерного общества """"Русатом Инфраструктурные решения"""" в городе Новоуральске""",,,,Информация об образовании не указана,,,,13.78,s,
3,ФИО_3,0,Участник мероприятия,Инженер-конструктор; ,инженер-конструктор,,июл.05,"""Акционерное Общество """"Машиностроительный завод""""""",,23.06.1986,,Информация об образовании не указана,,,,38.48,s,
4,ФИО_4,0,Участник мероприятия,Геодезия; ,Мастер-лаборант,,,ОБПОУ Курский монтажный техникум,,,,Информация об образовании не указана,,,,48.0,t,КМТ
5,ФИО_5,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Инженер по организации управления производством,Инженер,2005-09-29,Федеральное государственное унитарное предприятие «производственное объединение «Маяк»,нет в предлагаемом списке,1985-12-13,2007-09-29,Информация об образовании не указана,,,,59.38,t,МАЯК ЯОК
6,ФИО_6,0,Участник мероприятия,Мехатроника; ,,,,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственн,,2004-06-18,,Информация об образовании не указана,,,,18.48,t,ГУАП
7,ФИО_7,1,Участник мероприятия,Управление качеством; ,Инженер 2 категории,Инженер,2018-05-10,"Акционерное общество ""Атомэнергопроект""",Управление качеством,1995-09-29,2021-12-13,Информация об образовании не указана,,,,43.45,t,АО АСЭ-2
8,ФИО_8,0,Участник мероприятия,Аддитивные технологии; ,начальник группы,Руководитель,1993-09-01,"ФГУП ""РФЯЦ-ВНИИТФ им. академ. Е.И. Забабахина""",Изготовление прототипов,1974-01-14,1993-09-01,Информация об образовании не указана,,,,35.22,s,
9,ФИО_9,1,Участник не в оценке,Инженерное проектирование; ,Инженер-конструктор 1 категории,,04.2018,"""АО """"ЕВРАЗ ОБЪЕДИНЕННЫЙ ЗАПАДНО-СИБИРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""""""",,,,Информация об образовании не указана,,,,5.0,t,"АО ""ЕВРАЗ ЗСМК"""
10,ФИО_10,0,Участник мероприятия,Промышленная механика и монтаж; ,электромеханик по СА и ПТО,,,АО «Инжиниринговая компания «АЭМ-технологии»,,,,Информация об образовании не указана,,,,38.02,t,"Рабочее место 10 Команда ""АЭМ-""ПЗМ"""
11,ФИО_11,1,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Начальник отдела,Руководитель,1992-10-01,"Акционерное общество ""Высокотехнологический научно-исследовательский институт институт неорганических материалов им.А.А.",Вывод из эксплуатации объектов использования атомной энергии,1974-11-13,2002-01-10,Информация об образовании не указана,,,,64.1,t,ТВЭЛ
12,ФИО_12,0,Участник мероприятия,Работы на фрезерных универсальных станках; ,Фрезеровщик 5го разряда,,,"""АО Инжиниринговая компания """"АЭМ-технологии""""""",,,,Информация об образовании не указана,,,,32.64,s,
13,ФИО_13,0,Участник мероприятия,Неразрушающий контроль; ,Инженер-физик,,20.11.2017,РФЯЦ ВНИИЭФ,,,20.11.2017,Высшее образование без указания уровня,Ульяновский государственный университет,2016,Физика металлоа,60.1,s,
14,ФИО_14,0,Участник мероприятия,Водитель спецавтомобиля; ,Водитель кислотовоза,,,Акционерное общество Хиагда,,,,Информация об образовании не указана,,,,43.58,s,
15,ФИО_15,0,Участник мероприятия,Промышленная автоматика; ,Слесарь по КИП и А,,ноя.04,АО Уральский электрохимический комбинат,,06.08.1986,,Бакалавриат,НТИ НИЯУ МИФИ,2026,Технология машиностроения,48.25,s,
16,ФИО_16,0,Участник мероприятия,Строительный контроль; ,Ведущий инженер по надзору за строительством,Инженер,1997-09-01,Департамент капитального строительства,нет в предлагаемом списке,1980-01-11,2014-04-21,Информация об образовании не указана,,,,48.0,t,№ 2
17,ФИО_17,0,Участник мероприятия,Программные решения для бизнеса; ,Главный специалист,,,"""АО """"Атомстройэкспорт""""""",,,,Информация об образовании не указана,,,,69.17,t,АСЭ Team-1
18,ФИО_18,0,Участник мероприятия,Геодезия; ,ведущий геодезист,Инженер,1979-06-10,"""Филиал АО """"Концерн Росэнергоатом"""" Белоярская АЭС""",нет в предлагаемом списке,1961-06-30,1987-08-10,Информация об образовании не указана,,,,85.35,t,Концерн
19,ФИО_19,0,Участник мероприятия,Инженерное проектирование; ,Инженер-проектировщик 2-ой категории,Инженер,2020-07-20,АО  Ведущий Научно-Исследовательский Промышленный Институт промышленной технологии,Инженерное проектирование,1999-04-25,2020-07-20,Информация об образовании не указана,,,,5.0,t,ВНИПИ_в_координатах
20,ФИО_20,0,Участник мероприятия,Инженерное мышление. Каракури; ,Инженер-конструктор,,янв.13,"""Акционерное общество """"Чепецкий Механический завод""""""",,03.08.1992,,Информация об образовании не указана,,,,83.44,t,"АО ""ТВЭЛ"""
