№,Название команды,ФИО участников,Компетенция,"Баллы, ед.","Баллы, %",Баллы по ключевым навыкам,A - CTF,Максимальное значение,Результат,CTF,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15,B - Защита корпоративной ИТ инфраструктуры,Максимальное значение.1,Результат.1,Базовая конфигурация,Доменные имена настроены согласно задания,Имена устройств настроены согласно задания,IP адреса устройств настроены согласно залания,Настроена базовая маршрутизация между офисами,Парольная политика,Минимальная длина пароля 12 символов,Соблюдены обязательные услови парольной политки,На сетевых устройствах пароли хранятся в соответствии с заданием,Выбран и обоснован тип шифрования,Настройка удалеенного доступа,Устройства Linux и Сетевые устройства доступны по SSH,Обоснована и настроена безопасность протокола SSH,Уйтройства Windows доступны по RDP,Обоснована и настроена безопасность протокола RDP,Настроен доступ до FW в соответствии с заданием,Настроен баннер на Linux устройствах,Настроен баннер на Windows устройствах,Настроен баннер на Сетевых устройствах,Настройка групповых политик Windows,Отключено кэширование доменных пользователей в соответствии с заданием,Отключена стартовая застака в соответствии с заданием,Настроен рисунок рабочего стола в соответствии с заданием,Уколючена блокировка при неверном вводе пароля в соответствии с заданием,Настроена политика аудита действий Logon в соответствии с заданием,Настроена политика аудита действий Logoff в соответствии с заданием,Настроена политика аудита действий Credential validation в соответствии с заданием,Настроены дополнительные политки не менее 3,Настройка эмуляции доступа в интернет для Windows,Настроена эмуляция доступа в интернет  в соответствии с заданием,Настройкаполитк безопасности Linux,Разграничен доступ пользователей с помощью sudo в соответствии с заданием,Настроены команды systemctl и service в соответствии с заданием,Настроены дополнительные меры обеспечения ИБ,Обеспечение ИБ сетевых устройств,Инфраструктура модернизированна с учетом увелияения уровня ИБ,Cisco ASA Настроены политики для работы сервисов,Cisco ASA Запрещен остальной трафик,Cisco ASA Настроены дополнительные меры обеспечения ИБ,Cisco ASA Решения описаны в отчете,Защита публичных сервисов,Обеспечена работа web сервиса на базе DEV1 в соответствии с заданием,Сертификат https сервиса на DEV1 доверенный,Обеспечена работа web сервиса на базе DC2 в соответствии с заданием,Сертификат https сервиса на DC2 доверенный,Обеспечена работа web сервиса на базе SRV в соответствии с заданием,Сертификат https сервиса на SRV доверенный,Настроен редирект http на https на DEV1,Настроен редирект http на https на DC2,Настроен редирект http на https на SRV,Обеспечена доступность сайтов размещенных на DEV1 по имени в соответствии с заданием,Обеспечена доступность сайтов размещенных на DC2 по имени в соответствии с заданием,Обеспечена доступность сайтов размещенных на SRV по имени в соответствии с заданием,VPN Настроен vpn для клиентов внешней сети,VPN Отчет содержит инструкцию для доступа windows и Linux клиентов,VPN Обеспечена доступность офисов через созданное соендинение,C - Pentest,Максимальное значение.2,Результат.2,Pentes: First-Half,Task 1.1,Task 1 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 2.1,Task 2 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 3.1,Task 3 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 4.1,Task 4 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 5.1,Task 5 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 6.1,Task 6 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 7.1,Task 7 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 8.1,Task 8 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 9.1,Task 9 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 10.1,Task 10 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Pentes: Second-Half,Task 11.1,Task 11 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 12.1,Task 12 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 13.1,Task 13 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 14.1,Task 14 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 15.1,Task 15 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 16,Task 16 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 17,Task 17 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 18,Task 18 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 19,Task 19 Отчет составлен корректно. Описана логика решения. Отчет оформлен,Task 20,Task 20 Отчет составлен корректно. Описана логика решения. Отчет оформлен,D - Форензика,Максимальное значение.3,Результат.3,Форензика,Task 1 Определены временые рамки инцидента,Task 1 Отчет составлен корректно. Описана логика решения. Отчет оформлен.1,Task 2 Определен вектор(а) атаки,Task 2 Отчет составлен корректно. Описана логика решения. Отчет оформлен.1,Task 3 Описана последовательность атаки,Task 3 Отчет составлен корректно. Описана логика решения. Отчет оформлен.1,"Task 4 Указаны вредоносные программы и инструменты, которые были использованы в процессе атаки",Task 4 Отчет составлен корректно. Описана логика решения. Отчет оформлен.1,Task 5 Указаны используемые команды CC сервером,Task 5 Отчет составлен корректно. Описана логика решения. Отчет оформлен.1,Task 6 Указаны возможные цели атакующего,Task 6 Указаны какие результаты достигнуты атакующим,Task 6 Отчет составлен корректно. Описана логика решения. Отчет оформлен.1,"Task 7 Восстановлены  данные (флаг/флаги), которые успели зашифровать",Task 7 Отчет составлен корректно. Описана логика решения. Отчет оформлен.1
1,"АО ""РАСУ""",ФИО_342; ФИО_551,Информационная безопасность,100,2,2,,15,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,2,,"1,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"АО ""РИР+АО ""ИРМ"" + ОКБ Гидропресс",ФИО_232; ФИО_417,Информационная безопасность,100,"5,73","5,73",,15,2,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,25,"1,73",,"0,1","0,1","0,1","0,1",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4","0,4","0,2",0,0,"0,33",0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,2,,"1,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"АО ""ТВЭЛ"" 1",ФИО_97; ФИО_200,Информационная безопасность,100,"4,8","4,8",,15,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,"2,8",,"0,1","0,1","0,1","0,1",,0,0,0,0,0,0,0,"0,5","0,17",0,0,0,0,0,0,0,"0,4","0,4","0,2","0,2","0,2","0,33",0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,2,,"1,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"АО ""ТВЭЛ"" 2",ФИО_138; ФИО_643,Информационная безопасность,100,"4,03","4,03",,15,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,"2,03",,"0,1","0,1","0,1","0,1",,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,"0,4","0,4",0,0,0,"0,33",0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,2,,"1,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ГПН ЦР,ФИО_167; ФИО_588,Информационная безопасность,100,"11,41","11,41",,15,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,"3,08",,"0,1","0,1","0,1","0,1",,0,0,0,0,0,0,"0,17","0,5","0,17",0,0,0,0,0,"0,4",0,0,"0,4","0,2","0,2","0,2","0,44",0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,2,,"1,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,"5,33",,,0,2,"0,22","0,44","0,17","1,33","0,17",0,0,"0,33",0,"0,67",0,0
6,"Команда АО ""Гринатом""",ФИО_211; ФИО_466,Информационная безопасность,100,"17,28","17,28",,15,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,"9,24",,"0,1","0,1","0,1","0,1",,"0,4","0,4","0,3","0,44",0,"0,5","0,17","0,5","0,17","0,8","0,2",0,"0,2",0,"0,4","0,4","0,4","0,4","0,2","0,2","0,2","0,56",0,0,0,"0,5","0,5",0,,"0,67",0,0,0,"0,33",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,2,,"1,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,"5,04",,,0,2,"0,22","0,44","0,33","0,67","0,33",0,0,"0,83","0,22",0,0,0
7,Концерн,ФИО_457; ФИО_660,Информационная безопасность,100,"9,58","9,58",,15,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,"5,57",,"0,1","0,1","0,1","0,1",,"0,4","0,4","0,3","0,44",0,0,"0,33","0,5","0,17",0,0,0,0,0,"0,4",0,"0,4",0,0,0,0,"0,33",0,"0,5",0,"0,5","0,5",0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,2,,"1,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,"1,01",,,"0,17",0,0,0,0,0,0,"0,67",0,"0,17",0,0,0,0
8,НИЯУ МИФИ,ФИО_51; ФИО_98,Информационная безопасность,100,"13,64","13,64",,15,2,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,25,"1,8",,"0,1","0,1","0,1","0,1",,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,"0,2","0,2",0,0,0,0,0,"0,5",0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,"5,77",,"1,5","0,5","1,5","0,33",0,0,"1,5","0,44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,"4,07",,,"0,17",0,"0,17","0,22",0,"1,11","0,39",0,0,"0,67","0,67","0,67",0,0
9,НИЯУ МИФИ,ФИО_411; ФИО_667,Информационная безопасность,100,"10,23","10,23",,15,3,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,25,"2,67",,"0,1","0,1","0,1","0,1",,0,0,0,0,0,"0,5","0,17",0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,,0,0,0,0,0,,0,0,0,0,"0,4",0,0,0,0,0,0,"0,5",0,0,0,,40,2,,"1,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,"2,56",,,"0,17",2,"0,17","0,22",0,0,0,0,0,0,0,0,0,0
10,ФГУП РФЯЦ-ВНИИЭФ ЯОК,ФИО_337; ФИО_590,Информационная безопасность,100,"4,58","4,58",,15,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,"1,3",,"0,1","0,1","0,1","0,1",,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,"0,4",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,2,,"1,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,"0,28",,,"0,17",0,0,0,"0,11",0,0,0,0,0,0,0,0,0
